desc,valor,metraje,url,metraje_2,lat,lng
1 Dormitorio en Malvin Norte,39000,,https://www.gallito.com.uy/venta-de-casa-de-1-dormitorio-en-malvin-norte-inmuebles-27324995,35.0,-34.90721,-56.19027
2 Dormitorios en Cerrito,44000,,https://www.gallito.com.uy/para-reciclar-completamente-ph-al-frente-se-escucha-oferta-inmuebles-27342466,60.0,,
2 Dormitorios en Belvedere,59000,,https://www.gallito.com.uy/a-reciclar-ideal-vivienda-o-para-renta-atanasildo-suarez-inmuebles-25759511,51.0,-34.85269,-56.21883
4 Dormitorios en Piedras Blancas,59000,,https://www.gallito.com.uy/casa-cuatro-dormitorios-jardin-entrada-vehicular-inmuebles-27595802,70.0,-34.82298,-56.15965
1 Dormitorio en Aires Puros,61000,40.0,https://www.gallito.com.uy/muy-linda-casa-ph-al-frente-jardin-y-patio-inmuebles-27037615,65.0,-34.85393,-56.1855
2 Dormitorios en Cerro,63000,53.0,https://www.gallito.com.uy/bonita-soleada-gran-fondo-acepta-banco-inmuebles-27469209,192.0,,
1 Dormitorio en Otro,65000,45.0,https://www.gallito.com.uy/casa-en-venta-de-un-dormitorio-en-flor-de-maroñas-inmuebles-27474304,88.0,-34.86592,-56.12709
2 Dormitorios en Manga,70000,50.0,https://www.gallito.com.uy/excelente-ubicacion-dos-dormitorios-lugar-para-vehiculo-inmuebles-27469124,60.0,-34.90721,-56.19027
3 Dormitorios en Paso Molino,70000,,https://www.gallito.com.uy/oficina-sosa-atanasildo-suarez-y-emancipacion-casa-y-galp-inmuebles-25295290,123.0,-34.85252,-56.21863
3 Dormitorios en Colon,73000,,https://www.gallito.com.uy/oficina-sosa-alquilada-casa-amplia-en-peã±arol-inmuebles-25968135,260.0,-34.81752,-56.20753
4 Dormitorios en Nuevo Paris,73000,100.0,https://www.gallito.com.uy/casa-en-venta-local-en-nuevo-paris-inmuebles-27325291,200.0,,
4 Dormitorios en Maroñas,74000,125.0,https://www.gallito.com.uy/casa-venta-4-dormitorios-cochera-maroñas-montevideo-g-inmuebles-27134741,136.0,,
4 Dormitorios en Otro,74000,125.0,https://www.gallito.com.uy/casa-venta-4-dormitorios-cochera-villa-española-montevide-inmuebles-27134743,136.0,-34.8685,-56.13984
4 Dormitorios en Union,74000,125.0,https://www.gallito.com.uy/casa-venta-4-dormitorios-cochera-union-montevideo-g-inmuebles-27134742,136.0,-34.87164,-56.14486
4 Dormitorios en Villa Española,74000,125.0,https://www.gallito.com.uy/casa-venta-villa-española-cochera-montevideo-g-inmuebles-27134744,136.0,-34.86776,-56.13885
2 Dormitorios en Manga,75000,,https://www.gallito.com.uy/propiedad-en-planta-alta-sobre-la-perimetral-inmuebles-25895351,86.0,,
2 Dormitorios en J. Hipodromo,75000,75.0,https://www.gallito.com.uy/chalet-en-padron-unico-inmuebles-26907176,470.0,-34.8326,-56.13036
2 Dormitorios en Maroñas,75000,59.0,https://www.gallito.com.uy/lea-atentamente-la-publicacion-usd-75000-y-cuotas-inmuebles-27296590,89.0,-34.90721,-56.19027
1 Dormitorio en Ciudad Vieja,75000,47.0,https://www.gallito.com.uy/casa-venta-ciudad-vieja-montevideo-imasuy-s-inmuebles-27398986,47.0,-34.90913,-56.21211
2 Dormitorios en Villa Española,75000,,https://www.gallito.com.uy/sobre-yucatan-casa-en-padrã³n-ãnico-excelente-inmuebles-27266256,190.0,-34.86517,-56.14818
3 Dormitorios en Peñarol,77000,106.0,https://www.gallito.com.uy/casa-en-venta-de-3-dormitorios-en-peñarol-con-patio-inmuebles-26125397,118.0,-34.82593,-56.20061
3 Dormitorios en La Comercial,78500,61.0,https://www.gallito.com.uy/casa-de-2-plantas-en-venta-en-la-comercial-inmuebles-26790958,74.0,,
3 Dormitorios en Cerro,79000,,https://www.gallito.com.uy/viacaba-y-grecia-casa-con-gran-potencial-inmuebles-25884556,122.0,-34.88768,-56.24895
3 Dormitorios en Union,80000,,https://www.gallito.com.uy/casa-en-venta-3-dormitorios-union-inmuebles-26042096,100.0,,
2 Dormitorios en Union,84000,66.0,https://www.gallito.com.uy/casa-en-venta-barrio-union-2-dormitorios-y-garge-inmuebles-26874604,66.0,-34.87634,-56.1361
3 Dormitorios en Maroñas,85000,,https://www.gallito.com.uy/imperal-vendecasa-3-dorm-cochera-y-apto-1-dormitorio-inmuebles-26989428,580.0,-34.83426,-56.14139
4 Dormitorios en Aires Puros,85000,74.0,https://www.gallito.com.uy/inversores-venta-2-casas-mismo-padron-cochera-inmuebles-26298190,410.0,,
1 Dormitorio en Union,85000,44.0,https://www.gallito.com.uy/venta-casa-1-dormitorio-jardin-y-demas-inmuebles-27462943,44.0,-34.88015,-56.14155
2 Dormitorios en Las Acacias,85000,,https://www.gallito.com.uy/imperial-vende-casa2-dorm-cochera-fdo-y-apto-monoambiente-inmuebles-27246270,320.0,-34.83774,-56.15151
2 Dormitorios en Reducto,85000,67.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-en-reducto-inmuebles-27383335,67.0,-34.87837,-56.19375
2 Dormitorios en Atahualpa,86000,57.0,https://www.gallito.com.uy/casa-venta-atahualpa-montevideo-imasuy-r-inmuebles-27363650,65.0,-34.86922,-56.19023
Más de 4 dormitorios en La Comercial,89000,,https://www.gallito.com.uy/venta-de-casa-6-dormitorios-en-la-comercial-montevideo-inmuebles-27363460,110.0,-34.89786,-56.17352
Más de 4 dormitorios en Tres Cruces,89000,,https://www.gallito.com.uy/venta-de-casa-6-dormitorios-en-tres-cruces-montevideo-l-inmuebles-27363461,110.0,-34.89786,-56.17352
Más de 4 dormitorios en Cordon,89000,,https://www.gallito.com.uy/venta-de-casa-6-dormitorios-en-cordon-montevideo-l-inmuebles-27398925,110.0,-34.89786,-56.17352
3 Dormitorios en Paso Molino,90000,100.0,https://www.gallito.com.uy/preciclar-en-dos-niveles-terraza-patio-y-parrillero-inmuebles-27342517,100.0,,
1 Dormitorio en La Teja,93000,,https://www.gallito.com.uy/casa-en-venta-en-la-teja-inmuebles-27599259,1.0,-34.86336,-56.23354
2 Dormitorios en Piedras Blancas,93000,,https://www.gallito.com.uy/casa-en-esquina-ampliojardin-parrillero-a-100m-belloni-inmuebles-26144478,90.0,,
1 Dormitorio en La Comercial,93000,,https://www.gallito.com.uy/casa-esquina-domingo-aramburu-y-marti­n-c-marti­nez-inmuebles-26032834,37.0,-34.88344,-56.17417
2 Dormitorios en Aguada,95000,62.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-en-aguada-inmuebles-27510656,129.0,-34.89521,-56.18457
2 Dormitorios en Arroyo Seco,95000,71.0,https://www.gallito.com.uy/casa-en-padron-unico-tres-dormitorios-y-azotea-inmuebles-23717360,,,
1 Dormitorio en Buceo,95000,,https://www.gallito.com.uy/casa-en-venta-1-dormitorio-con-acceso-a-la-azota-inmuebles-27347926,1.0,-34.89928,-56.12295
2 Dormitorios en Villa Española,98000,,https://www.gallito.com.uy/casa-en-planta-baja-prã³x-a-corrales-y-varela-inmuebles-27484352,126.0,-34.8597,-56.13805
4 Dormitorios en Colon,98000,,https://www.gallito.com.uy/casa-ubicado-en-las-mejores-zona-de-colon-inmuebles-26204219,280.0,,
2 Dormitorios en Atahualpa,98000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-y-patio-en-atahualpa-inmuebles-26297646,100.0,,
2 Dormitorios en Reducto,98500,,https://www.gallito.com.uy/casa-sobre-garcia-peña-y-vilardebo-inmuebles-26443126,60.0,-34.87636,-56.18637
2 Dormitorios en Jacinto Vera,100000,70.0,https://www.gallito.com.uy/venta-casa-esquina-proxbrartigas-y-san-martin-inmuebles-24263326,70.0,-34.87342,-56.18104
2 Dormitorios en La Comercial,100000,48.0,https://www.gallito.com.uy/propiedad-horizontal-tipo-casita-independiente-sin-gcomun-inmuebles-26302309,53.0,-34.89216,-56.17456
2 Dormitorios en Prado,100000,46.0,https://www.gallito.com.uy/en-pb-a-metros-de-castro-y-maua-inmuebles-21293965,78.0,-34.85103,-56.20279
2 Dormitorios en Centro,100000,113.0,https://www.gallito.com.uy/padron-unico-a-reciclar-gaboto-1656-inmuebles-25611271,113.0,-34.90023,-56.17997
3 Dormitorios en Malvin Norte,100000,120.0,https://www.gallito.com.uy/linda-casa-en-cooperativa-de-viviendas-inmuebles-27540357,120.0,-34.88144,-56.10452
1 Dormitorio en Prado,105000,,https://www.gallito.com.uy/lista-para-entrar-millãn-y-pedro-primero-inmuebles-26881630,50.0,-34.84702,-56.20708
1 Dormitorio en Prado,105000,65.0,https://www.gallito.com.uy/lista-para-mudarse-millan-y-pedro-primero-inmuebles-24384590,50.0,-34.84702,-56.20708
3 Dormitorios en La Teja,109000,143.0,https://www.gallito.com.uy/casa-en-venta-de-tres-dormitorios-apartamento-en-la-teja-inmuebles-27325191,192.0,,
2 Dormitorios en Malvin Norte,109000,46.0,https://www.gallito.com.uy/venta-con-renta-de-casa-de-2-dormitorios-en-malvin-norte-inmuebles-27473824,90.0,-34.87803,-56.10602
2 Dormitorios en Parque Batlle,110000,55.0,https://www.gallito.com.uy/oportunidad-casa-2-dormitorios-con-patio-inmuebles-27267169,70.0,-34.88704,-56.15585
2 Dormitorios en Villa Muñoz,110000,56.0,https://www.gallito.com.uy/casa-al-frente-orientacion-norte-sol-todo-el-dia-inmuebles-24457090,56.0,-34.89239,-56.17501
2 Dormitorios en Tres Cruces,110000,56.0,https://www.gallito.com.uy/casa-de-altos-orientacion-norte-todo-el-sol-inmuebles-24460716,56.0,-34.89206,-56.17426
2 Dormitorios en La Comercial,110000,41.0,https://www.gallito.com.uy/casa-en-venta-de-2-dormitorios-en-la-comercial-inmuebles-27370280,66.0,-34.8882,-56.16669
3 Dormitorios en Aguada,115000,108.0,https://www.gallito.com.uy/casa-en-venta-de-3-dormitorios-en-aguada-inmuebles-27107787,108.0,-34.89075,-56.18401
2 Dormitorios en Piedras Blancas,115000,200.0,https://www.gallito.com.uy/padron-grande-con-casa-y-dos-aptos-a-reciclar-se-escucha-of-inmuebles-27342481,1000.0,,
2 Dormitorios en Colon,115000,100.0,https://www.gallito.com.uy/a-una-cuadra-de-av-garzon-y-a-una-de-av-lezica-inmuebles-26288508,320.0,-34.80268,-56.22644
Más de 4 dormitorios en Bella Vista,115000,,https://www.gallito.com.uy/oficina-sosa-hervidero-y-gral-farias-proximo-a-agraciada-inmuebles-25861258,142.0,-34.87784,-56.19964
3 Dormitorios en Union,116000,,https://www.gallito.com.uy/casa-chalet-en-venta-uniã³n-inmuebles-27379040,335.0,-34.8754,-56.13448
3 Dormitorios en Bella Vista,118000,100.0,https://www.gallito.com.uy/amplia-casa-sin-gastos-comunes-inmuebles-27378719,95.0,-34.90721,-56.19027
1 Dormitorio en Tres Cruces,118000,75.0,https://www.gallito.com.uy/venta-casa-en-tres-cruces-de-un-dormitorio-inmuebles-27317439,83.0,-34.89601,-56.17412
3 Dormitorios en Cordon,119000,102.0,https://www.gallito.com.uy/casa-para-reciclar-80-m2-terreno-102-const-padron-unico-inmuebles-22179188,102.0,,
Más de 4 dormitorios en Cordon,119000,,https://www.gallito.com.uy/casa-venta-cordon-montevideo-imasuy-lc-inmuebles-27398102,205.0,-34.90108,-56.18139
2 Dormitorios en Tres Cruces,119000,62.0,https://www.gallito.com.uy/venta-casa-2-dorm-amplia-al-frente-tres-cruces-inmuebles-25644253,380.0,-34.89276,-56.17509
3 Dormitorios en Sayago,125000,81.0,https://www.gallito.com.uy/casa-en-venta-de-tres-dormitorios-en-sayago-inmuebles-27325217,329.0,,
2 Dormitorios en Reducto,126000,,https://www.gallito.com.uy/oficina-sosa-vilardebã³-y-millãn-casa-en-y-al-inmuebles-27479543,70.0,-34.87635,-56.18733
3 Dormitorios en Sayago,129000,268.0,https://www.gallito.com.uy/imperdible-ya-inmuebles-27195451,268.0,,
3 Dormitorios en Cordon,130000,120.0,https://www.gallito.com.uy/casa-en-venta-inmuebles-27305821,130.0,-34.90691,-56.17601
2 Dormitorios en Prado,130000,80.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-frente-a-prado-inmuebles-26911660,90.0,-34.8591,-56.21334
3 Dormitorios en Malvin Norte,130000,60.0,https://www.gallito.com.uy/excelente-padron-unico-con-gge-jardin-y-fondo-inmuebles-27241202,378.0,,
3 Dormitorios en Aguada,130000,109.0,https://www.gallito.com.uy/casa-venta-aguada-montevideo-imasuy-r-inmuebles-27363657,129.0,-34.8812,-56.18917
1 Dormitorio en Pocitos Nuevo,130000,45.0,https://www.gallito.com.uy/vacia-1-dormitorio-cochera-jardin-azotea-inmuebles-27128695,130.0,,
1 Dormitorio en Buceo,130000,45.0,https://www.gallito.com.uy/vacia-1-dormitorio-cochera-jardin-azotea-inmuebles-27224782,130.0,-34.89898,-56.14001
2 Dormitorios en Union,130000,88.0,https://www.gallito.com.uy/casa-venta-2-dormitorios-union-montevideo-imasuy-as-inmuebles-27294088,88.0,-34.88072,-56.13848
2 Dormitorios en Prado,132000,60.0,https://www.gallito.com.uy/venta-casa-dos-dormitorios-prado-inmuebles-27352620,112.0,,
3 Dormitorios en Sayago,133000,,https://www.gallito.com.uy/excelente-duplex-inmuebles-27420290,150.0,-34.90721,-56.19027
2 Dormitorios en Jacinto Vera,135000,,https://www.gallito.com.uy/casa-2-dormitorios-en-venta-zona-jacinto-vera-inmuebles-25889426,93.0,-34.87339,-56.17478
